width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
5.0,32.0,0.1,15.0,0.12179844826459885,0.13999119400978088,0.10072644799947739,0.07478372752666473,0.24663275480270386,0.11639349907636642,0.6200196743011475,0.6776935458183289,1,1,1,1,0.00011772878285164212,36.61352256543179
15.0,32.0,0.1,10.0,0.17530913650989532,0.20866595208644867,0.13960319757461548,0.1215694472193718,0.23295994102954865,0.15404528379440308,0.11311977356672287,0.2185153216123581,1,1,1,1,0.00013899575246661966,36.64841530759044
15.0,64.0,0.1,23.0,0.18934892117977142,0.4190080761909485,0.18497096002101898,0.4149046242237091,0.20808292925357819,0.37307262420654297,0.12785004079341888,0.32652193307876587,15,6,1,1,0.00019248938648290526,34.51646277952176
25.0,32.0,0.1,21.0,0.2764397859573364,0.27203038334846497,0.24786891043186188,0.18809852004051208,0.3435625731945038,0.2602772116661072,0.10614477843046188,0.11075226962566376,3,1,3,1,8.93991438687819e-05,32.130194319315
15.0,32.0,0.1,4.0,0.2094934582710266,0.1612553894519806,0.19050449132919312,0.07816062867641449,0.2666216194629669,0.20687398314476013,0.11856026947498322,0.12382496148347855,2,1,1,1,0.0001121382182252828,41.64971638862278
5.0,32.0,0.1,6.0,0.20930542051792145,0.21064917743206024,0.2111550271511078,0.36525219678878784,0.20598044991493225,0.23055240511894226,0.29364684224128723,0.3538379669189453,1,1,1,1,0.00012320283192410186,39.50680987149775
25.0,64.0,0.1,30.0,0.2735840678215027,0.5406655669212341,0.26295509934425354,0.5439528226852417,0.2343176007270813,0.4402868449687958,0.18698066473007202,0.5571585297584534,20,2,8,1,0.00010405167783507363,27.828879684929355
25.0,32.0,0.1,23.0,0.13386961817741394,0.13695098459720612,0.11775203049182892,0.11158812046051025,0.11489875614643097,0.09278538078069687,0.11495286226272583,0.21129244565963745,1,2,1,1,0.00013285958093109396,23.041786491989534
25.0,64.0,0.1,22.0,0.18743321299552917,0.5155521035194397,,,0.16315045952796936,0.3410319685935974,0.16278578341007233,0.46406111121177673,22,50,40,1,,26.629011070591726
15.0,32.0,0.1,18.0,0.2222190648317337,0.12657560408115387,0.32485225796699524,0.24610933661460876,0.32939085364341736,0.27343523502349854,0.3682265281677246,0.4658111035823822,1,1,1,1,9.535495411486239e-05,30.11100926918011
5.0,32.0,0.1,17.0,0.11068736761808395,0.13405434787273407,0.15219135582447052,0.17167067527770996,,,0.22462129592895508,0.375099778175354,1,1,50,1,0.00013085775138189926,
15.0,32.0,0.1,15.0,0.3516182601451874,0.18351586163043976,0.28326016664505005,0.13517415523529053,0.5353176593780518,0.4544569253921509,0.11084030568599701,0.1396804302930832,1,2,3,1,7.918674395174241e-05,24.29501268803373
25.0,64.0,0.1,26.0,,,,,0.16730767488479614,0.4083314836025238,0.17027977108955383,0.5259524583816528,50,50,2,1,,19.433642672959834
5.0,64.0,0.1,6.0,0.17427796125411987,0.1257779598236084,0.17394781112670898,0.3465502858161926,0.17435427010059357,0.26558423042297363,0.3170780837535858,0.42531684041023254,3,1,1,1,0.00012564275994568497,38.35694608165757
5.0,64.0,0.1,28.0,0.21426057815551758,0.2195243537425995,0.20511972904205322,0.16745930910110474,0.27900058031082153,0.2567928731441498,0.40321916341781616,0.4570523202419281,2,3,1,1,0.00011776901731597178,30.505776811990344
5.0,64.0,0.1,5.0,0.17498895525932312,0.10871098190546036,0.18213316798210144,0.1547166258096695,0.1445254534482956,0.1675030142068863,0.3432839512825012,0.5623346567153931,1,2,1,1,7.430615882458858e-05,30.747797748832035
15.0,32.0,0.1,3.0,0.09918183833360672,0.0658688098192215,0.16114965081214905,0.22573082149028778,0.16574564576148987,0.13559676706790924,0.10173027217388153,0.28048545122146606,1,1,2,1,0.00010228924298155695,22.154842568051777
15.0,64.0,0.1,7.0,0.209248349070549,0.4942202866077423,0.24241763353347778,0.5801260471343994,,,0.19054493308067322,0.43922194838523865,33,15,50,1,0.00015319627320041496,
5.0,64.0,0.1,12.0,0.13529685139656067,0.23995265364646912,0.15963710844516754,0.19967558979988098,0.13392892479896545,0.09371241927146912,0.21436728537082672,0.3458695113658905,1,1,2,1,0.00017478443526962317,29.95330826124103
25.0,32.0,0.1,20.0,0.2458464652299881,0.29499247670173645,0.24995358288288116,0.2587336003780365,0.28186947107315063,0.2882636487483978,0.17110732197761536,0.3320688009262085,1,5,9,1,0.00013537199804654343,28.21341377807897
5.0,32.0,0.1,3.0,0.2598657011985779,0.45496058464050293,0.28070956468582153,0.476897656917572,0.13385598361492157,0.24987179040908813,0.3001760244369507,0.28080737590789795,1,1,1,1,0.0001388030214509034,29.711684201410673
5.0,64.0,0.1,11.0,0.22286421060562134,0.21855640411376953,0.2110128104686737,0.2305735945701599,0.23442167043685913,0.21583163738250732,0.37787675857543945,0.38617220520973206,2,4,2,1,0.0001775978006691159,29.842890499585423
25.0,64.0,0.1,24.0,0.1444755494594574,0.43715935945510864,0.1313876509666443,0.4236591160297394,,,0.16426905989646912,0.5194967985153198,4,45,50,1,0.00010745486173342755,
25.0,32.0,0.1,3.0,0.31197455525398254,0.3293299973011017,0.29342615604400635,0.3720300793647766,0.32676005363464355,0.35919129848480225,0.17076845467090607,0.33984625339508057,1,2,1,1,0.00011185680926999175,34.10092128203415
5.0,64.0,0.1,23.0,0.19523988664150238,0.3455515205860138,0.19970788061618805,0.4201223850250244,0.23848408460617065,0.35558217763900757,0.33234861493110657,0.43212997913360596,2,2,1,1,0.00015752177185081317,35.53506050053284
5.0,32.0,0.1,7.0,0.19375260174274445,0.27952831983566284,0.12648916244506836,0.09059372544288635,0.11463606357574463,0.16597284376621246,0.23144637048244476,0.48471543192863464,1,1,1,1,0.00010829079535881747,35.49877702725963
5.0,32.0,0.1,5.0,0.12404827773571014,0.14102154970169067,0.28004559874534607,0.15626151859760284,0.19957968592643738,0.1547185778617859,0.5673079490661621,0.7005472779273987,1,1,1,1,0.00013596293178198826,31.28325053126737
25.0,32.0,0.1,1.0,0.27607133984565735,0.2772809565067291,0.28191810846328735,0.3177299201488495,0.3150293827056885,0.26370668411254883,0.17634689807891846,0.13873103260993958,1,3,1,1,0.00010431286673674711,19.991566619757368
25.0,32.0,0.1,16.0,0.39301297068595886,0.425029993057251,0.41945627331733704,0.44045621156692505,0.4545772969722748,0.4549948275089264,0.27698126435279846,0.4316379129886627,5,1,4,1,0.0001282038358589449,19.797951360998802
25.0,32.0,0.1,25.0,0.27717962861061096,0.29132533073425293,0.23351213335990906,0.30354994535446167,0.36258283257484436,0.3589436709880829,0.11285959184169769,0.18069559335708618,7,1,1,1,0.0001347417459998529,23.28631004551358
5.0,32.0,0.1,12.0,0.13151437044143677,0.05927683413028717,0.1033448874950409,0.08065289258956909,0.21635538339614868,0.23608934879302979,0.4889485239982605,0.6591262817382812,1,1,1,1,0.00015830514742422308,28.626138689239834
5.0,64.0,0.1,20.0,0.1391354650259018,0.12135745584964752,0.14791405200958252,0.10875193029642105,0.16121910512447357,0.3548017740249634,0.1850857138633728,0.18380558490753174,1,2,1,1,0.00015057923151806651,39.0699561908593
15.0,64.0,0.1,6.0,0.1688586324453354,0.4278949797153473,0.17052167654037476,0.4802182614803314,0.16376669704914093,0.37908750772476196,0.1339421421289444,0.4320681393146515,8,9,2,1,0.00011632149577751882,23.361695349801323
5.0,32.0,0.1,18.0,0.11128303408622742,0.12601561844348907,0.18638528883457184,0.26441484689712524,0.22784815728664398,0.2093471735715866,0.1703406274318695,0.3917352855205536,1,1,1,1,8.808642750916806e-05,39.53154686317949
25.0,64.0,0.1,18.0,,,0.13057763874530792,0.3986321985721588,,,0.19173221290111542,0.519284188747406,50,27,50,1,0.00013145940516628984,
15.0,64.0,0.1,12.0,0.18275777995586395,0.49344271421432495,0.18875427544116974,0.4799998104572296,0.2139376699924469,0.47244399785995483,0.15479525923728943,0.5127237439155579,19,2,8,1,9.640685908327007e-05,24.872597568385597
25.0,32.0,0.1,28.0,0.16175803542137146,0.22536173462867737,0.12247419357299805,0.16208864748477936,0.19332879781723022,0.24100734293460846,0.19004268944263458,0.14974088966846466,3,1,1,1,8.863685526940002e-05,27.045707368922265
25.0,32.0,0.1,7.0,0.37840861082077026,0.4612850546836853,0.337124228477478,0.4564831852912903,0.34177541732788086,0.39679116010665894,0.10628143697977066,0.2589675784111023,2,5,4,1,0.00015038295086790276,21.30628385459573
25.0,64.0,0.1,21.0,0.18074744939804077,0.4528971314430237,0.17955157160758972,0.4270005524158478,0.20052744448184967,0.4463595449924469,0.14983098208904266,0.42206427454948425,9,5,16,1,0.000138943104452241,26.23883314243949
15.0,32.0,0.1,14.0,0.12453623116016388,0.08840129524469376,0.1265365183353424,0.0860355868935585,0.18890918791294098,0.14579114317893982,0.1260107159614563,0.1857544183731079,1,3,2,1,9.195894447419639e-05,20.80513566611099
5.0,64.0,0.1,18.0,0.15706075727939606,0.1281299740076065,0.15313181281089783,0.1295597106218338,0.2021438032388687,0.3025394082069397,0.1698613166809082,0.13582520186901093,4,1,1,1,0.00011417531973539896,30.830482458736782
15.0,32.0,0.1,8.0,0.24364212155342102,0.19593805074691772,0.21276085078716278,0.06387285143136978,0.19937832653522491,0.0676841214299202,0.18137933313846588,0.14998985826969147,1,1,1,1,0.00013759390632059332,24.845301749947396
5.0,64.0,0.1,9.0,0.13570819795131683,0.281490683555603,0.13981176912784576,0.20983733236789703,0.12526115775108337,0.19835011661052704,0.39690038561820984,0.696206271648407,1,2,1,1,0.00016631191282261149,25.443534950926765
