width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err
5.0,32.0,0.1,10.0,6.0,5.0,3.0,0.24394838511943817,0.1582198590040207,1,26.138612628392607
5.0,32.0,0.1,1.0,2.0,1.0,1.0,0.19192852079868317,0.190544992685318,1,34.861744039309215
5.0,32.0,0.1,10.0,1.0,0.0,2.0,0.12682119011878967,0.1047041118144989,1,28.461867546014332
5.0,32.0,0.1,0.0,6.0,5.0,3.0,0.1497216373682022,0.17569422721862793,1,29.332859095901483
5.0,32.0,0.1,0.1,1.0,9.0,2.0,0.09840065240859985,0.07964608818292618,1,25.831601478725347
5.0,32.0,0.1,1.0,2.0,5.0,1.0,0.3161994218826294,0.1430622935295105,1,25.437364025025005
5.0,32.0,0.1,10.0,7.0,12.0,2.0,0.11794062703847885,0.15297242999076843,1,33.8007998231712
5.0,32.0,0.1,0.0,4.0,11.0,2.0,0.2671470642089844,0.12055337429046631,1,28.23398090738877
5.0,32.0,0.1,1.0,1.0,16.0,3.0,0.1863270252943039,0.20530660450458527,1,36.33853789169445
5.0,32.0,0.1,1.0,5.0,1.0,2.0,0.1279798001050949,0.21491782367229462,1,36.13573884784968
5.0,32.0,0.1,1.0,7.0,13.0,1.0,0.1298285573720932,0.11856602132320404,1,30.709084121944155
5.0,32.0,0.1,10.0,6.0,3.0,2.0,0.45854607224464417,0.38111335039138794,1,33.328360565066134
5.0,32.0,0.1,0.1,0.0,2.0,1.0,0.27097514271736145,0.20420289039611816,1,30.96123463623546
5.0,32.0,0.1,1.0,10.0,17.0,2.0,0.3420860171318054,0.44593071937561035,1,34.05659328682127
5.0,32.0,0.1,0.0,6.0,6.0,2.0,0.17194750905036926,0.11585918068885803,1,20.78094972952281
5.0,32.0,0.1,1.0,7.0,3.0,1.0,0.19011788070201874,0.23558007180690765,1,27.82928148165623
5.0,32.0,0.1,1.0,4.0,9.0,2.0,0.41059285402297974,0.39996781945228577,1,30.841361701843176
5.0,32.0,0.1,0.0,6.0,13.0,2.0,0.24741841852664948,0.14557965099811554,1,26.402853744496667
5.0,32.0,0.1,0.0,8.0,10.0,1.0,0.2631349265575409,0.19077983498573303,1,26.05489681316617
5.0,32.0,0.1,0.1,8.0,15.0,3.0,0.11874142289161682,0.09337607026100159,1,30.36467047225847
5.0,32.0,0.1,0.1,5.0,15.0,2.0,0.21905197203159332,0.24797113239765167,4,22.800087698443242
5.0,32.0,0.1,0.1,9.0,2.0,1.0,0.40719711780548096,0.37823769450187683,1,23.94013796600743
5.0,32.0,0.1,10.0,9.0,0.0,3.0,0.2987259030342102,0.19039635360240936,6,28.4427193023891
5.0,32.0,0.1,0.1,0.0,18.0,2.0,0.1134820282459259,0.08126767724752426,41,31.154500131066143
5.0,32.0,0.1,0.0,3.0,4.0,3.0,0.2252674400806427,0.38622722029685974,1,51.36724852696157
5.0,32.0,0.1,0.1,3.0,18.0,2.0,,,50,
5.0,32.0,0.1,0.1,5.0,1.0,2.0,0.14322376251220703,0.22526121139526367,14,27.057926930578525
5.0,32.0,0.1,0.0,8.0,18.0,1.0,0.20589686930179596,0.1814187914133072,1,31.56178146082322
5.0,32.0,0.1,10.0,2.0,7.0,1.0,0.38284793496131897,0.40342438220977783,1,29.594457861308527
5.0,32.0,0.1,0.0,2.0,12.0,1.0,0.13011780381202698,0.09798258543014526,1,18.828132598181426
5.0,32.0,0.1,0.1,4.0,9.0,3.0,0.40140870213508606,0.3392334282398224,1,43.013242652925825
5.0,32.0,0.1,10.0,8.0,17.0,1.0,0.26996076107025146,0.2066875696182251,1,31.06887037064226
5.0,32.0,0.1,1.0,7.0,19.0,2.0,0.23552419245243073,0.20724056661128998,1,36.53548892896003
5.0,32.0,0.1,10.0,6.0,3.0,1.0,0.30786818265914917,0.318783164024353,1,30.129311056737222
5.0,32.0,0.1,1.0,1.0,13.0,3.0,0.36287546157836914,0.3186284899711609,1,37.43764096749226
5.0,32.0,0.1,10.0,8.0,12.0,2.0,0.25938135385513306,0.2784641683101654,1,31.995827346905173
5.0,32.0,0.1,1.0,1.0,2.0,2.0,0.2606793940067291,0.1715535670518875,1,31.674032058381552
5.0,32.0,0.1,10.0,1.0,1.0,3.0,0.30365636944770813,0.1763126254081726,1,35.27894992690391
5.0,32.0,0.1,0.1,0.0,6.0,1.0,0.10003655403852463,0.2255137711763382,1,30.836040441102362
5.0,32.0,0.1,0.1,4.0,17.0,1.0,0.09686049073934555,0.12884293496608734,1,29.34822542870965
